ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
2719;-1.643216578;101.1410652;738205.357;9818247.024;1650.568;-1650.568;2023;1;3;3;43;21.02178;0.0159577;8;335.819;564.364676;388.228402;322.497116
2720;-1.638359983;101.1533596;739574.405;9818782.738;1650.568;-1650.568;2023;1;3;3;52;5.731807;0.0226325;10;317.777;451.276093;523.849854;432.062348
2721;-1.632387007;101.1404521;738138.393;9819444.94;1160.511;-1160.511;2023;1;3;3;52;21.034483;0.0203819;14;134.922;212.369027;164.464394;180.573005
2722;-1.639187085;101.134911;737520.833;9818693.452;1053.977;-1053.977;2023;1;3;3;52;34.757351;0.0175062;8;291.357;734.51418;252.117102;612.707995
2723;-1.634751489;101.1310293;737089.286;9819184.524;812.5;-812.5;2023;1;3;4;2;20.455869;0.00412891;8;268.99;1426.754166;455.770096;956.045449
2724;-1.635744675;101.1458033;738733.631;9819072.917;805.398;-805.398;2023;1;4;20;11;39.395422;0.0222811;14;284.881;207.420343;168.864335;164.592053
2725;-1.643683926;101.1443411;738569.94;9818194.94;294.034;-294.034;2023;1;4;20;16;15.54755;0.0195562;18;309.041;399.231358;148.523516;302.291627
2726;-1.642879157;101.1420675;738316.964;9818284.226;1160.511;-1160.511;2023;1;4;20;17;9.676774;0.0150768;14;327.744;225.759748;124.293122;264.286594
2727;-1.645365698;101.1442761;738562.5;9818008.929;1650.568;-1650.568;2023;1;4;20;18;22.724124;0.0177974;10;335.446;461.60453;239.70911;182.742603
2728;-1.610326927;101.0719112;730511.905;9821892.857;5443.182;-5443.182;2023;1;7;1;45;57.333468;0.0635697;17;336.298;1293.437948;885.862594;1448.743792
2729;-1.657625519;101.1286471;736821.429;9816654.762;1352.273;-1352.273;2023;1;11;13;28;50.442551;0.0286062;8;341.141;1145.088348;289.602526;985.700779
2730;-1.621430689;101.1324859;737252.976;9820657.738;-1161.932;1161.932;2023;1;13;11;1;29.447445;0.000639264;6;262.784;478.856456;540.889996;548.42915
2731;-1.6725924;101.2195732;746940.476;9814988.095;5897.727;-5897.727;2023;1;14;3;46;48.63256;0.0745791;16;345.812;817.52292;1250.300634;2320.135637
2732;-1.676939713;101.1821451;742773.81;9814511.905;-1375;1375;2023;1;16;16;17;35.839354;0.0580767;12;346.508;1408.721193;1028.871421;2139.130016
2733;-1.643765379;101.1311725;737104.167;9818187.5;1139.205;-1139.205;2023;1;20;13;29;11.092381;0.00643553;7;308.888;1221.062068;452.417678;764.199866
2734;-1.643832572;101.1312394;737111.607;9818180.06;862.216;-862.216;2023;1;20;18;30;0.360447;0.0165306;15;295.795;213.753698;103.455538;192.767121
2735;-1.641416766;101.1257554;736501.488;9818447.917;1075.284;-1075.284;2023;1;20;19;10;25.467541;0.0176912;8;302.64;330.038195;199.695573;532.880045
2736;-1.63736286;101.142329;738346.726;9818894.345;578.125;-578.125;2023;1;20;19;10;36.461839;0.0286723;24;282.198;191.600073;119.996027;131.047847
2737;-1.637365447;101.1399226;738078.869;9818894.345;634.943;-634.943;2023;1;20;19;11;19.43787;0.013532;10;244.784;134.86737;78.308317;100.216663
2738;-1.637099386;101.1371148;737766.369;9818924.107;1316.761;-1316.761;2023;1;20;19;11;38.490285;0.00283055;7;292.747;466.488223;238.40043;277.958669
