ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
2962;-1.640362166;101.1368843;737740.327;9818563.244;617.187;-617.187;2023;7;4;19;19;48.456594;0.0094313;10;273.113;92.258177;79.240953;94.647606
2963;-1.6040247;101.1801945;742565.476;9822577.381;642.045;-642.045;2023;7;4;21;56;7.506358;0.0283003;12;325.371;1167.753324;511.179734;1530.219772
2964;-1.62764095;101.1121711;734991.071;9819973.214;1622.159;-1622.159;2023;7;5;0;17;41.69679;0.0358009;14;279.192;553.658866;167.670132;1333.793565
2965;-1.639538594;101.1829062;742863.095;9818648.81;-1744.318;1744.318;2023;7;7;20;24;54.28345;0.0144254;8;338.371;2916.865282;786.332201;2297.346312
2966;-1.694755037;101.1313611;737119.048;9812547.619;2204.545;-2204.545;2023;7;8;12;21;33.525752;0.0379976;8;344.612;2529.139246;1683.22041;1233.233636
2967;-1.648129274;101.1391319;737989.583;9817703.869;-302.557;302.557;2023;7;14;23;38;10.267111;0.0481699;19;307.937;1992.011119;648.524182;712.641263
2968;-1.641204138;101.135849;737625;9818470.238;812.5;-812.5;2023;7;15;2;2;49.289997;0.0284662;16;281.54;146.702173;112.409911;120.657206
2969;-1.642752684;101.1345806;737483.631;9818299.107;592.33;-592.33;2023;7;15;2;5;39.863343;0.0305996;28;276.01;157.321255;93.341713;109.2059
2970;-1.618095219;101.1058776;734291.667;9821029.762;1437.5;-1437.5;2023;7;15;4;25;32.471515;0.0272592;8;306.467;692.163156;541.425701;740.745626
2971;-1.606826527;101.1389546;737974.702;9822272.321;-1140.625;1140.625;2023;7;15;4;36;18.917047;0.0111713;8;270.257;486.884244;246.753865;412.400918
2972;-1.637372761;101.1331043;737319.94;9818894.345;734.375;-734.375;2023;7;15;9;27;6.659251;0.012162;8;294.463;208.207236;122.12608;150.477699
2973;-1.640292304;101.1392907;738008.185;9818570.685;794.744;-794.744;2023;7;15;9;29;55.143362;0.0221873;26;271.704;77.704703;79.803929;85.838399
2974;-1.639650848;101.1415293;738257.44;9818641.369;805.398;-805.398;2023;7;15;9;30;2.757411;0.0308586;20;288.259;155.642336;112.401274;120.478609
2975;-1.643286086;101.138993;737974.702;9818239.583;762.784;-762.784;2023;7;15;9;30;27.429351;0.0301724;26;289.339;119.172078;167.507153;98.845893
2976;-1.6383767;101.1378514;737848.214;9818782.738;656.25;-656.25;2023;7;15;9;31;39.714963;0.0147301;8;292.241;718.840726;197.404764;644.632919
2977;-1.63784543;101.1314336;737133.929;9818842.262;-25.568;25.568;2023;7;17;15;4;33.403353;0.00669814;12;277.421;341.488554;107.161651;91.820328
2978;-1.63779978;101.1426303;738380.208;9818845.982;489.347;-489.347;2023;7;19;2;5;31.296704;0.0220715;24;284.413;105.559452;70.612311;96.61185
2979;-1.639786249;101.1407273;738168.155;9818626.488;1316.761;-1316.761;2023;7;19;2;18;47.735603;0.0274436;20;280.259;156.974484;137.343909;166.267646
2980;-1.642685914;101.1341126;737431.548;9818306.548;1252.841;-1252.841;2023;7;19;2;21;5.608402;0.0136456;8;316.77;302.526544;173.80924;193.454664
2981;-1.634323039;101.1541574;739663.69;9819229.167;1082.386;-1082.386;2023;7;19;2;21;8.781847;0.0169821;8;308.768;379.361902;224.664323;498.699163
2982;-1.635617465;101.1389849;737974.702;9819087.798;1416.193;-1416.193;2023;7;19;2;59;40.546038;0.0488512;20;196.107;182.633672;130.946459;182.021873
2983;-1.636959392;101.1421949;738331.845;9818938.988;791.193;-791.193;2023;7;19;3;0;3.874538;0.0276012;26;279.735;141.895164;140.610959;154.314701
2984;-1.640735917;101.1333752;737349.702;9818522.321;393.466;-393.466;2023;7;19;3;0;15.288855;0.0175662;14;284.841;700.095938;298.365862;344.555239
2985;-1.639917906;101.1434013;738465.774;9818611.607;151.989;-151.989;2023;7;19;3;0;25.793621;0.028718;26;292.992;122.902589;133.716041;140.379491
2986;-1.639992293;101.1367836;737729.167;9818604.167;1309.659;-1309.659;2023;7;19;3;1;0.326054;0.011162;8;304.305;243.419736;121.745392;144.266392
2987;-1.642075536;101.1387243;737944.94;9818373.512;919.034;-919.034;2023;7;19;3;1;12.773482;0.0345609;20;281.3;197.168132;140.570158;237.234673
2988;-1.640859089;101.143937;738525.298;9818507.44;208.807;-208.807;2023;7;19;3;1;20.849911;0.0284976;24;296.669;170.122272;101.096475;151.495587
2989;-1.636231266;101.1311645;737104.167;9819020.833;1110.795;-1110.795;2023;7;19;3;1;31.055137;0.0167124;8;296.164;505.37543;240.561529;300.898799
2990;-1.646173788;101.1434748;738473.214;9817919.643;88.068;-88.068;2023;7;19;3;1;58.949004;0.017823;12;332.208;625.782069;558.000477;489.872121
2991;-1.639919779;101.1416633;738272.321;9818611.607;1458.807;-1458.807;2023;7;19;3;2;24.23683;0.0171631;10;326.879;272.136946;142.189967;175.036432
2992;-1.641681977;101.1293654;736903.274;9818418.155;975.852;-975.852;2023;7;19;3;2;31.332077;0.0297132;12;279.192;254.320227;154.33929;180.93698
2993;-1.630541889;101.167255;741122.024;9819645.833;-1957.386;1957.386;2023;7;19;3;3;0.916818;0.0173799;8;326.893;595.727452;368.816896;1047.361041
2994;-1.648337067;101.1335838;737372.024;9817681.548;769.886;-769.886;2023;7;19;3;3;5.169425;0.007683;8;331.28;1325.593716;537.417473;987.681882
2995;-1.639183926;101.1378523;737848.214;9818693.452;968.75;-968.75;2023;7;19;3;3;49.457222;0.0125833;8;299.898;538.642734;250.602322;381.187126
2996;-1.637635097;101.1393881;738019.345;9818864.583;720.17;-720.17;2023;7;19;3;4;25.741099;0.029311;24;241.812;183.049964;107.786939;101.305326
2997;-1.635284493;101.1358428;737625;9819125;812.5;-812.5;2023;7;19;3;4;42.905768;0.00428118;8;264.685;127.006993;73.214104;98.240054
2998;-1.63682701;101.1401894;738108.631;9818953.869;1160.511;-1160.511;2023;7;19;3;4;47.33267;0.0232243;12;236.119;330.242687;167.410186;159.752713
2999;-1.636726931;101.1394206;738023.065;9818965.03;1433.949;-1433.949;2023;7;19;3;5;55.398274;0.0397997;20;225.09;705.598011;99.721869;304.629755
3000;-1.640989864;101.1474132;738912.202;9818492.56;137.784;-137.784;2023;7;19;3;6;34.214383;0.0195245;16;305.762;99.880152;85.935397;114.152611
3001;-1.641230177;101.1429013;738409.97;9818466.518;411.222;-411.222;2023;7;19;3;7;18.030754;0.0296597;24;295.779;89.147734;76.641446;84.145762
