ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
2942;-1.640427273;101.1388897;737963.542;9818555.804;972.301;-972.301;2023;6;6;2;1;36.979411;0.0367535;20;270.199;177.972855;84.240152;137.077314
2943;-1.644225243;101.1414005;738242.56;9818135.417;-1453.125;1453.125;2023;6;6;2;1;54.465101;0.0176233;10;327.958;896.447779;547.486187;784.299896
2944;-1.639791855;101.1355133;737587.798;9818626.488;947.443;-947.443;2023;6;6;2;2;19.403085;0.0197856;20;252.378;118.065408;92.003574;105.333904
2945;-1.636197569;101.1624482;740586.31;9819020.833;-338.068;338.068;2023;6;6;2;3;32.545021;0.00543118;8;326.428;903.958609;165.148999;793.768743
2946;-1.647591557;101.1387302;737944.94;9817763.393;1146.307;-1146.307;2023;6;6;2;5;16.300642;0.0198244;14;305.534;190.396906;150.637719;122.246697
2947;-1.632392301;101.1355055;737587.798;9819444.94;407.67;-407.67;2023;6;6;2;11;56.618002;0.00595586;8;218.965;748.476571;393.603554;355.817506
2948;-1.640733189;101.1359154;737632.44;9818522.321;1330.966;-1330.966;2023;6;6;2;57;14.158108;0.039691;18;261.751;112.413051;106.167579;106.664739
2949;-1.640730601;101.1383218;737900.298;9818522.321;1061.08;-1061.08;2023;6;6;2;57;29.373825;0.0195454;14;300.781;213.412818;110.208601;113.249551
2950;-1.639244212;101.1443364;738569.94;9818686.012;1302.557;-1302.557;2023;6;6;2;57;54.10671;0.0111602;10;329.12;301.818319;137.080211;143.473878
2951;-1.632519098;101.142725;738391.369;9819430.06;137.784;-137.784;2023;6;6;2;58;2.076602;0.00551681;8;190.488;631.410392;276.944651;651.092336
2952;-1.640989286;101.1479479;738971.726;9818492.56;-1552.557;1552.557;2023;6;6;2;58;17.958219;0.0389855;18;302.202;196.253154;130.323266;316.077803
2953;-1.643483054;101.1434719;738473.214;9818217.262;571.023;-571.023;2023;6;6;2;58;41.370848;0.0222894;8;348.099;943.272482;213.524852;716.94085
2954;-1.642069481;101.1443394;738569.94;9818373.512;1061.08;-1061.08;2023;6;6;2;59;47.010236;0.0126027;10;300.409;132.438818;103.859084;136.157136
2955;-1.63782415;101.15122;739336.31;9818842.262;1764.205;-1764.205;2023;6;6;22;40;15.801952;0.00869342;10;312.802;965.085747;625.068082;1538.59669
2956;-1.633107169;101.1588353;740184.524;9819363.095;3767.045;-3767.045;2023;6;20;20;10;27.013595;0.0311621;10;316.601;923.959141;698.452153;1047.761197
2957;-1.681576508;101.1257316;736494.048;9814005.952;5187.5;-5187.5;2023;6;21;21;54;14.827303;0.0350303;14;338.823;1146.520922;530.074688;996.886779
2958;-1.66219487;101.1331976;737327.381;9816148.81;6551.136;-6551.136;2023;6;21;22;1;19.802175;0.0347505;19;329.044;599.808017;353.418502;303.131238
2959;-1.655065685;101.1319867;737193.452;9816937.5;4889.205;-4889.205;2023;6;21;22;28;47.826652;0.0254587;26;319.29;329.235038;213.374564;188.861378
2960;-1.662064552;101.1293203;736895.833;9816163.69;5599.432;-5599.432;2023;6;22;9;57;0.386217;0.0285045;22;328.339;537.554572;344.163141;298.262322
2961;-1.623682456;101.134126;737435.268;9820408.482;-1293.324;1293.324;2023;6;27;17;47;0.121354;0.0066685;8;180.815;95.759496;159.951183;270.143234
