ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
3270;-1.639953303;101.1417636;738283.482;9818607.887;453.835;-453.835;2023;10;5;7;35;44.907713;0.0263739;24;289.756;122.709282;104.289843;110.360639
3271;-1.619042821;101.1323163;737234.375;9820921.875;205.256;-205.256;2023;10;8;0;46;1.739098;0.0217321;24;56.3521;45.009436;53.997227;80.859381
3272;-1.62153793;101.1265033;736587.054;9820646.577;901.278;-901.278;2023;10;8;0;46;50.840993;0.045666;24;167.86;145.853021;60.40159;139.620225
3273;-1.641313042;101.1283958;736795.387;9818459.077;-412.642;412.642;2023;10;9;12;0;57.302048;0.0231218;21;281.647;67.421709;71.370236;121.716394
3274;-1.635122445;101.1613776;740467.262;9819139.881;428.977;-428.977;2023;10;9;13;10;28.751;0.0329016;14;308.935;673.627165;444.684633;246.48477
3275;-1.643481032;101.1453436;738681.548;9818217.262;2.841;-2.841;2023;10;10;8;52;47.48185;0.0246871;10;333.216;813.714277;219.850942;476.121103
3276;-1.648935486;101.1400686;738093.75;9817614.583;1330.966;-1330.966;2023;10;12;2;8;51.738842;0.0244407;16;311.93;246.688586;120.064404;221.446371
3277;-1.646177257;101.1402662;738116.071;9817919.643;542.614;-542.614;2023;10;12;2;25;53.890545;0.0402459;20;305.176;454.687395;178.868853;330.824731
3278;-1.647516842;101.1456153;738711.31;9817770.833;911.932;-911.932;2023;10;12;2;26;44.378257;0.0413671;18;318.443;639.751764;183.733043;351.357428
3279;-1.644290855;101.142938;738413.69;9818127.976;883.523;-883.523;2023;10;12;7;33;35.72285;0.0295842;10;330.204;422.823246;205.915119;291.115964
3280;-1.635208406;101.1440647;738540.179;9819132.44;1359.375;-1359.375;2023;10;12;7;35;26.728042;0.0172071;12;269.248;598.084114;422.5205;713.576224
3281;-1.635749275;101.1415252;738257.44;9819072.917;1302.557;-1302.557;2023;10;12;7;44;21.162094;0.0188366;14;229.093;261.534473;132.066808;111.062898
3282;-1.636549448;101.1480769;738986.607;9818983.631;1345.17;-1345.17;2023;10;14;8;24;30.547172;0.0141896;14;300.182;153.890352;121.280586;103.451699
3283;-1.639445229;101.1450719;738651.786;9818663.69;1451.705;-1451.705;2023;10;14;10;32;46.230963;0.0201586;14;326.579;191.653725;132.795499;111.637097
3284;-1.640597932;101.1365837;737706.845;9818537.202;791.193;-791.193;2023;10;14;16;31;41.023009;0.0260255;16;291.754;365.596502;106.815625;262.451018
3285;-1.64429893;101.1354512;737580.357;9818127.976;1252.841;-1252.841;2023;10;17;8;13;56.77085;0.0528271;26;286.006;245.104082;152.037241;184.766181
3286;-1.643233821;101.1250221;736419.643;9818247.024;656.25;-656.25;2023;10;17;9;1;32.410646;0.0221531;12;307.372;360.249313;157.659147;803.666952
3287;-1.631969821;101.1216344;736043.899;9819493.304;212.358;-212.358;2023;10;18;0;33;19.668341;0.00978638;12;265.474;61.730555;60.698768;68.364869
3288;-1.628810076;101.1356521;737604.539;9819841.146;-1536.577;1536.577;2023;10;18;14;21;34.951095;0.217816;26;165.211;350.454573;722.591299;922.433496
