ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
3038;-1.613927129;101.1033332;734008.929;9821491.071;5400.568;-5400.568;2023;8;10;22;25;12.096864;0.0409852;26;287.544;514.631237;238.302498;324.246442
3039;-1.621208733;101.0875647;732252.976;9820687.5;3610.795;-3610.795;2023;8;15;18;31;16.008597;0.0633463;14;315.117;624.727028;537.405157;624.564556
3040;-1.635305587;101.1160562;735422.619;9819125;4619.318;-4619.318;2023;8;21;20;43;14.745488;0.0331413;16;285.755;649.914771;700.020932;410.844408
3041;-1.58996327;101.1185495;735705.357;9824139.881;-1076.705;1076.705;2023;8;22;10;37;23.912445;0.0282146;12;338.134;868.3089;716.062047;786.908851
3042;-1.642208633;101.1400614;738093.75;9818358.631;1572.443;-1572.443;2023;8;25;22;0;2.962537;0.00563815;8;325.963;251.440275;135.454676;133.219473
3043;-1.641198959;101.140662;738160.714;9818470.238;755.682;-755.682;2023;8;25;22;1;20.64891;0.0329989;14;325.477;351.688815;176.315153;237.522794
3044;-1.652369147;101.1373316;737788.69;9817235.119;-877.841;877.841;2023;8;25;22;1;29.573979;0.0309465;14;335.849;534.71185;172.892125;401.958639
3045;-1.639085569;101.1354791;737584.077;9818704.613;439.631;-439.631;2023;8;25;22;1;39.694023;0.0202081;17;244.997;105.199349;79.498799;77.218404
3046;-1.636832031;101.1355102;737587.798;9818953.869;947.443;-947.443;2023;8;25;22;2;23.941055;0.00567119;10;273.728;131.689726;74.59917;100.33899
3047;-1.640593905;101.1403271;738123.512;9818537.202;819.602;-819.602;2023;8;25;22;2;28.1427;0.0203819;24;281.816;107.414175;81.383086;85.698155
3048;-1.644558484;101.1442752;738562.5;9818098.214;-25.568;25.568;2023;8;25;22;2;42.262208;0.0276116;14;334.463;943.557788;314.69832;405.727113
3049;-1.644607857;101.1296694;736936.756;9818094.494;134.233;-134.233;2023;8;25;22;2;51.506194;0.0252067;18;292.147;302.780226;93.489937;168.739908
3050;-1.640594481;101.1397923;738063.988;9818537.202;805.398;-805.398;2023;8;25;22;2;58.448171;0.0300096;26;277.644;128.141125;87.183759;139.650877
3051;-1.633653394;101.1513492;739351.19;9819303.571;-1971.591;1971.591;2023;8;25;22;3;19.878403;0.017963;8;288.444;441.495931;255.126772;618.490271
3052;-1.636292877;101.1364454;737691.964;9819013.393;819.602;-819.602;2023;8;25;22;3;24.913441;0.0122961;8;271.586;479.006631;222.977359;279.66062
3053;-1.637006514;101.1608448;740407.738;9818931.548;-1985.795;1985.795;2023;8;25;22;3;27.505235;0.0146066;8;312.497;343.191222;168.004807;569.846207
3054;-1.645301974;101.1410006;738197.917;9818016.369;634.943;-634.943;2023;8;25;22;3;32.502748;0.0330638;14;335.874;262.887448;169.925295;141.006117
3055;-1.642617284;101.1353826;737572.917;9818313.988;1259.943;-1259.943;2023;8;25;22;3;45.512488;0.0263459;14;292.677;489.362034;215.62975;411.816309
3056;-1.647202629;101.1250931;736427.083;9817808.036;-103.693;103.693;2023;8;25;22;4;22.104416;0.0146623;10;316.303;188.539386;117.745807;333.047358
3057;-1.643751551;101.144007;738532.738;9818187.5;1508.523;-1508.523;2023;8;25;22;4;39.359058;0.0329945;14;333.387;404.524672;246.016015;379.315373
3058;-1.641735956;101.1417321;738279.762;9818410.714;1494.318;-1494.318;2023;8;25;22;4;42.739926;0.0246781;14;330.429;439.99321;183.325764;384.981272
3059;-1.642132202;101.1485508;739038.69;9818366.071;31.25;-31.25;2023;8;25;22;5;22.650483;0.0111114;12;330.926;214.237845;125.799872;163.464368
3060;-1.634519717;101.1589037;740191.964;9819206.845;251.42;-251.42;2023;8;25;22;5;45.808236;0.0139184;8;304.662;480.427742;193.20543;566.517701
3061;-1.641606458;101.1370527;737758.929;9818425.595;1224.432;-1224.432;2023;8;25;22;7;34.091778;0.0181306;8;317.316;556.000991;195.914707;319.594352
3062;-1.643286374;101.1387256;737944.94;9818239.583;322.443;-322.443;2023;8;25;22;9;17.423317;0.0568078;26;288.28;426.642201;150.705369;176.045665
3063;-1.645165993;101.1423373;738346.726;9818031.25;350.852;-350.852;2023;8;25;22;9;21.903733;0.0486137;26;305.356;173.810763;174.20432;186.131223
3064;-1.639926105;101.1357808;737617.56;9818611.607;1018.466;-1018.466;2023;8;25;22;9;33.668598;0.0284498;20;254.021;156.09302;102.604989;129.875231
