ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
2834;-1.638846644;101.1387209;737944.94;9818730.655;450.284;-450.284;2023;3;8;4;53;44.107957;0.0282465;16;259.553;146.33054;96.148992;122.057051
2835;-1.642347633;101.1359171;737632.44;9818343.75;1075.284;-1075.284;2023;3;12;23;29;24.119465;0.0160543;8;316.046;331.643996;169.718729;228.302902
2836;-1.64087232;101.1316374;737156.25;9818507.44;1046.875;-1046.875;2023;3;19;14;58;26.798009;0.0138326;10;296.599;239.340119;130.974424;181.563372
2837;-1.643556313;101.1379238;737855.655;9818209.821;1288.352;-1288.352;2023;3;19;14;58;27.354912;0.030446;18;286.939;192.350754;139.249972;252.816728
2838;-1.640323679;101.1413963;738242.56;9818566.964;1345.17;-1345.17;2023;3;19;14;58;41.394268;0.0262951;12;290.026;380.838539;249.503136;633.814689
2839;-1.639387523;101.1361813;737662.202;9818671.131;1174.716;-1174.716;2023;3;19;14;59;5.12189;0.0227285;12;262.583;552.875687;344.35412;633.476951
2840;-1.639730388;101.1300987;736985.119;9818633.929;1139.205;-1139.205;2023;3;19;15;0;56.343065;0.0187117;8;310.913;516.205606;224.194032;333.224845
2841;-1.641668178;101.1421999;738331.845;9818418.155;1103.693;-1103.693;2023;3;19;15;7;48.627634;0.0363418;22;295.925;214.832047;145.002244;285.19987
2842;-1.640424971;101.1410288;738201.637;9818555.804;1093.04;-1093.04;2023;3;19;15;8;6.14245;0.0174418;20;286.987;109.326645;91.662617;88.465637
2843;-1.643479875;101.1464131;738800.595;9818217.262;116.477;-116.477;2023;3;19;15;8;45.767866;0.0269019;18;309.906;116.905245;85.67354;122.779742
2844;-1.64233422;101.1483504;739016.369;9818343.75;-231.534;231.534;2023;3;19;15;10;1.901861;0.0575703;22;305.088;145.7256;152.98564;182.144736
2845;-1.63756689;101.140257;738116.071;9818872.024;1536.932;-1536.932;2023;3;19;15;10;17.064591;0.016478;8;295.328;533.365888;263.627956;292.858826
2846;-1.646450085;101.1367905;737729.167;9817889.881;1366.477;-1366.477;2023;3;19;15;10;42.460542;0.0146915;8;329.923;342.664957;178.319373;203.519595
2847;-1.64509142;101.1490887;739098.214;9818038.69;1792.614;-1792.614;2023;3;19;15;12;7.923382;0.0190693;8;336.363;932.307457;536.682946;510.704753
2848;-1.640263666;101.1346448;737491.071;9818574.405;1480.114;-1480.114;2023;3;19;15;12;41.666715;0.0120856;8;305.996;1111.383586;474.263961;976.413027
2849;-1.642747792;101.1391261;737989.583;9818299.107;1231.534;-1231.534;2023;3;19;15;13;3.030247;0.0152728;10;287.086;153.770739;151.919944;208.171205
2850;-1.646247345;101.1376593;737825.893;9817912.202;1401.989;-1401.989;2023;3;19;15;13;29.225885;0.00690822;8;330.701;272.814507;140.363145;155.06775
2851;-1.637035338;101.1341066;737431.548;9818931.548;1849.432;-1849.432;2023;3;19;15;14;14.544503;0.00852664;8;288.34;796.881197;436.738941;948.799557
2852;-1.641682837;101.1285633;736813.988;9818418.155;478.693;-478.693;2023;3;19;15;14;23.746881;0.00665602;8;317.63;172.848988;110.247831;178.80643
2853;-1.642211369;101.1375213;737811.012;9818358.631;762.784;-762.784;2023;3;19;15;17;0.955769;0.0132803;8;317.781;217.623888;135.030858;159.488163
2854;-1.644895328;101.1438077;738510.417;9818061.012;279.83;-279.83;2023;3;19;15;17;15.426447;0.0324913;22;306.128;150.741671;110.971084;118.464628
2855;-1.643289254;101.1360518;737647.321;9818239.583;294.034;-294.034;2023;3;19;15;17;23.259535;0.0223287;12;314.143;489.425147;190.644258;280.165378
2856;-1.64430152;101.1330448;737312.5;9818127.976;883.523;-883.523;2023;3;19;15;17;27.560416;0.025831;10;322.034;480.28536;366.527069;853.103908
2857;-1.641338245;101.1362503;737669.643;9818455.357;-25.568;25.568;2023;3;19;15;17;37.338395;0.0383726;12;306.51;1207.1278;249.519582;775.709148
2858;-1.640258205;101.1397251;738056.548;9818574.405;883.523;-883.523;2023;3;30;10;37;55.426088;0.0258934;18;274.635;107.607895;131.756053;163.919388
2859;-1.641328161;101.1456087;738711.31;9818455.357;1139.205;-1139.205;2023;3;30;10;38;31.478533;0.0112222;8;330.176;336.23436;136.055663;182.860156
2860;-1.646193665;101.1250252;736419.643;9817919.643;400.568;-400.568;2023;3;30;10;38;50.877791;0.00689681;8;327.854;1074.367663;419.624049;755.803944
2861;-1.643219173;101.1386587;737937.5;9818247.024;1366.477;-1366.477;2023;3;30;10;38;55.638828;0.0181251;8;324.524;443.435587;202.481465;256.4024
2862;-1.641301124;101.1394923;738030.506;9818459.077;602.983;-602.983;2023;3;30;10;39;42.121967;0.0154185;16;280.431;98.244995;80.118473;123.063327
2863;-1.643560631;101.133913;737409.226;9818209.821;1515.625;-1515.625;2023;3;30;10;39;48.851175;0.00716343;8;300.718;178.387408;133.843027;133.927727
2864;-1.6405952;101.1391239;737989.583;9818537.202;606.534;-606.534;2023;3;30;10;40;7.735971;0.0403777;24;273.032;199.561846;163.079796;243.539346
2865;-1.642208921;101.139794;738063.988;9818358.631;450.284;-450.284;2023;3;30;10;40;14.494488;0.0388141;26;287.552;223.69435;108.995994;156.357952
2866;-1.639925962;101.1359145;737632.44;9818611.607;762.784;-762.784;2023;3;30;10;40;28.92179;0.0356713;20;254.215;156.860598;163.866619;222.500925
2867;-1.643150828;101.1396613;738049.107;9818254.464;1302.557;-1302.557;2023;3;30;10;40;36.387594;0.0631966;20;291.586;369.326207;359.554154;967.615394
2868;-1.644487232;101.1479517;738971.726;9818105.655;-46.875;46.875;2023;3;30;10;40;42.444114;0.0393736;22;308.825;323.986416;165.720583;414.092257
2869;-1.654253824;101.136264;737669.643;9817026.786;1281.25;-1281.25;2023;3;30;10;41;9.317607;0.0182554;10;329.579;818.682539;189.831053;1021.412099
2870;-1.640598363;101.1361826;737662.202;9818537.202;1075.284;-1075.284;2023;3;30;10;41;20.143743;0.0230302;14;261.031;125.011357;119.30123;135.769315
2871;-1.645109899;101.1319761;737193.452;9818038.69;1252.841;-1252.841;2023;3;30;10;41;29.932211;0.0183101;8;324.333;599.815374;241.151434;464.909687
2872;-1.642487056;101.1313717;737126.488;9818328.869;379.261;-379.261;2023;3;30;10;42;3.190275;0.00667662;8;317.888;155.466749;87.400108;154.713076
2873;-1.642211657;101.1372539;737781.25;9818358.631;819.602;-819.602;2023;3;30;10;42;11.623057;0.0179251;14;276.605;96.103548;102.087628;105.451969
2874;-1.636698639;101.1344405;737468.75;9818968.75;1203.125;-1203.125;2023;3;30;10;45;34.462742;0.0136779;10;230.742;488.774685;384.880397;646.225831
2875;-1.642689935;101.1303692;737014.881;9818306.548;1110.795;-1110.795;2023;3;30;10;49;11.328725;0.0129086;8;319.559;276.696307;129.622211;248.309895
