ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
3089;-1.708159953;101.1746932;741940.476;9811059.524;7715.909;-7715.909;2023;9;11;2;12;34.790987;0.145862;18;351.162;2551.504659;694.08699;1916.07903
3090;-1.708406685;101.1942126;744113.095;9811029.762;-1971.591;1971.591;2023;9;11;2;17;42.962951;0.113455;14;352.125;809.311635;478.055031;366.437972
3091;-1.708498983;101.1123911;735005.952;9811029.762;-721.591;721.591;2023;9;11;2;19;35.939195;0.0787494;18;344.281;2140.101353;249.566971;3924.179373
3092;-1.708153854;101.1800409;742535.714;9811059.524;7488.636;-7488.636;2023;9;11;2;35;19.249357;0.113267;16;351.49;4318.273932;547.119354;2741.718489
3093;-1.708390652;101.2081165;745660.714;9811029.762;-1119.318;1119.318;2023;9;11;2;46;58.289493;0.0760918;14;351.395;568.58575;419.571469;3761.402897
3094;-1.639251837;101.1372507;737781.25;9818686.012;720.17;-720.17;2023;9;13;15;18;58.211231;0.00999425;10;297.253;291.555494;223.51517;689.826621
3095;-1.643013117;101.1426024;738376.488;9818269.345;-32.67;32.67;2023;9;14;16;1;7.062317;0.0239482;14;328.706;170.743631;110.225816;171.14914
3096;-1.640044937;101.1503534;739239.583;9818596.726;393.466;-393.466;2023;9;14;16;1;16.519503;0.0152771;10;321.434;276.933498;129.868435;313.56194
3097;-1.647198176;101.1292376;736888.393;9817808.036;393.466;-393.466;2023;9;14;16;1;24.831252;0.0292617;16;304.354;929.404047;213.149451;489.353017
3098;-1.639524931;101.1335076;737364.583;9818656.25;1671.875;-1671.875;2023;9;14;16;3;59.181722;0.0038436;8;303.9;226.380234;226.407326;158.030106
3099;-1.641133054;101.1393918;738019.345;9818477.679;478.693;-478.693;2023;9;14;16;4;8.140922;0.0342074;22;278.683;258.917419;147.25187;127.643611
3100;-1.644101649;101.1312397;737111.607;9818150.298;1302.557;-1302.557;2023;9;14;16;7;36.655681;0.0240065;12;310.014;814.848451;125.385649;622.735596
