ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
2825;-1.646736119;101.1210149;735973.214;9817860.119;-792.614;792.614;2023;2;18;22;35;10.699623;0.0342132;14;302.241;194.839458;105.675178;559.979428
2826;-1.645100101;101.1410672;738205.357;9818038.69;1508.523;-1508.523;2023;2;18;22;38;25.918378;0.0332355;10;337.559;940.264497;403.913369;1013.532264
2827;-1.642749664;101.1373881;737796.131;9818299.107;1046.875;-1046.875;2023;2;18;22;38;33.409144;0.0194089;12;317.065;245.297353;131.210713;185.705205
2828;-1.646668058;101.1217502;736055.06;9817867.56;-1240.057;1240.057;2023;2;18;22;39;5.479812;0.0241507;14;301.855;559.709087;150.452772;511.336812
2829;-1.642962739;101.1268935;736627.976;9818276.786;-53.977;53.977;2023;2;26;15;14;57.771167;0.0169159;8;321.39;723.296255;314.6857;633.00033
2830;-1.646793986;101.1297719;736947.917;9817852.679;208.807;-208.807;2023;2;27;22;34;11.942512;0.0151048;8;328.529;309.707806;159.812639;383.482617
2831;-1.641670339;101.1401945;738108.631;9818418.155;1075.284;-1075.284;2023;2;27;22;34;17.982019;0.00434743;8;324.696;189.05263;107.718962;112.917492
2832;-1.645919419;101.1298379;736955.357;9817949.405;599.432;-599.432;2023;2;27;22;34;39.326585;0.0109836;8;326.925;1136.486043;273.97495;945.62252
2833;-1.644638939;101.1320424;737200.893;9818090.774;734.375;-734.375;2023;2;27;22;34;42.216194;0.00458569;8;323.168;181.631407;103.714958;163.545869
